metric,value
train_accuracy,0.9683
validation_accuracy,0.9393
test_accuracy,0.9411
test_precision_weighted,0.9427
test_recall_weighted,0.9411
test_f1_weighted,0.9412
test_f1_HDPE_Plastic,0.9709
test_f1_LDPE_Plastic,0.9313
test_f1_PET_Plastic,0.9776
test_f1_PP_Plastic,0.9221
test_f1_PS_Plastic,0.8934
