metric,value
train_accuracy,0.9806
validation_accuracy,0.9347
test_accuracy,0.9384
test_precision_weighted,0.9385
test_recall_weighted,0.9384
test_f1_weighted,0.9381
test_f1_HDPE_Plastic,0.9711
test_f1_LDPE_Plastic,0.9371
test_f1_PET_Plastic,0.9775
test_f1_PP_Plastic,0.9193
test_f1_PS_Plastic,0.8707
