epoch,train_loss,train_acc,val_loss,val_acc
1,0.6272544264793396,0.7749022245407104,0.5706825852394104,0.8482849597930908
2,0.26264873147010803,0.901508092880249,0.2156355381011963,0.9234828352928162
3,0.19825518131256104,0.9199404120445251,0.22686906158924103,0.9201846718788147
4,0.1660088151693344,0.9355799555778503,0.18745525181293488,0.9287598729133606
5,0.14936597645282745,0.9404208064079285,0.211489737033844,0.936675488948822
6,0.13364186882972717,0.9469372630119324,0.22536644339561462,0.9248021245002747
7,0.13882042467594147,0.9443306922912598,0.20478489995002747,0.9201846718788147
8,0.1276395618915558,0.9486129283905029,0.15554076433181763,0.938654363155365
9,0.11078419536352158,0.9562464952468872,0.28222963213920593,0.9175461530685425
10,0.11177337169647217,0.9566189050674438,0.23612287640571594,0.9320580363273621
11,0.10347449779510498,0.9568050503730774,0.24517352879047394,0.9327176809310913
12,0.0960809588432312,0.9592254757881165,0.2137126922607422,0.9432717561721802
13,0.08672121167182922,0.9653695821762085,0.21440283954143524,0.9353561997413635
14,0.0865432471036911,0.9640662670135498,0.23860009014606476,0.9215039610862732
15,0.07635678350925446,0.9674175977706909,0.27628397941589355,0.9287598729133606
16,0.08017635345458984,0.9687209129333496,0.2358102947473526,0.9393140077590942
17,0.08443723618984222,0.9683485627174377,0.23238693177700043,0.9346965551376343
18,0.09264681488275528,0.9633215665817261,0.22157856822013855,0.938654363155365
19,0.09676208347082138,0.9614596962928772,0.26117029786109924,0.9274406433105469
20,0.07903732359409332,0.970768928527832,0.20739176869392395,0.9379947185516357
21,0.07633337378501892,0.9696518182754517,0.21370674669742584,0.9333773255348206
22,0.07850971072912216,0.9705827832221985,0.23568278551101685,0.9346965551376343
