epoch	loss	accuracy	macro_f1	val_loss	val_accuracy	val_macro_f1
1	1.3923240900039673	0.5215925574302673	0.5186113119125366	0.5880113244056702	0.8003365397453308	0.7923999428749084
2	0.7077041268348694	0.772997260093689	0.7696638703346252	0.3792525827884674	0.8782950043678284	0.8745796084403992
3	0.47841736674308777	0.8476480841636658	0.8454131484031677	0.28553807735443115	0.9125069975852966	0.9102997779846191
4	0.35762524604797363	0.8905121088027954	0.8896505236625671	0.2264924794435501	0.9282108545303345	0.9261900782585144
5	0.2815939486026764	0.9080109000205994	0.9062599539756775	0.19347192347049713	0.93942791223526	0.937528133392334
6	0.23000289499759674	0.9301653504371643	0.9290254712104797	0.17075766623020172	0.9489624500274658	0.9469756484031677
7	0.18768544495105743	0.9389950037002563	0.9380772709846497	0.15786655247211456	0.9534492492675781	0.9521952271461487
8	0.1634586602449417	0.9491090178489685	0.9484699368476868	0.15545617043972015	0.9562535285949707	0.9550933241844177
9	0.13446000218391418	0.960507333278656	0.9599496722221375	0.13466641306877136	0.9646663069725037	0.9632002711296082
10	0.11006568372249603	0.964360237121582	0.9636621475219727	0.13327878713607788	0.9618620276451111	0.9603233337402344
11	0.0951138436794281	0.9701396822929382	0.9699437022209167	0.13005521893501282	0.9641054272651672	0.9626657366752625
12	0.09258749336004257	0.9714239835739136	0.9706972241401672	0.12825077772140503	0.9663488268852234	0.9649302363395691
13	0.07478570193052292	0.9760796427726746	0.9754393100738525	0.12510856986045837	0.9663488268852234	0.9649232029914856
14	0.06289148330688477	0.9794509410858154	0.9794381260871887	0.13251042366027832	0.9669097065925598	0.9654361605644226
15	0.05341125279664993	0.9808958172798157	0.9807583689689636	0.12866638600826263	0.9685922861099243	0.9669007658958435
16	0.045845258980989456	0.9866752028465271	0.9865604043006897	0.12806573510169983	0.9680314064025879	0.9662333130836487
17	0.044654931873083115	0.9879595637321472	0.9878208637237549	0.1271924376487732	0.9669097065925598	0.9648551344871521
18	0.04001700505614281	0.9877989888191223	0.9877832531929016	0.12796947360038757	0.969153106212616	0.9673720002174377
19	0.03635292500257492	0.9882805943489075	0.9882006049156189	0.12586230039596558	0.970274806022644	0.9684494137763977
20	0.038702014833688736	0.9889227747917175	0.9886794090270996	0.12637637555599213	0.9713965058326721	0.9697122573852539
