True / Predicted,HDPE Plastic,LDPE Plastic,PET Plastic,PP Plastic,PS Plastic
HDPE Plastic,1118,8,0,11,10
LDPE Plastic,0,1151,0,1,11
PET Plastic,3,0,1073,0,0
PP Plastic,0,19,0,1142,18
PS Plastic,0,13,0,10,783
