epoch,train_loss,train_acc,val_loss,val_acc
1,0.9730381965637207,0.641598105430603,0.40034645795822144,0.869927167892456
2,0.4079734683036804,0.8686838746070862,0.2442401796579361,0.9271591901779175
3,0.2924211621284485,0.9030552506446838,0.18620577454566956,0.9386056065559387
4,0.22201412916183472,0.923619270324707,0.15762336552143097,0.9438085556030273
5,0.18680213391780853,0.9341950416564941,0.15255840122699738,0.9427679777145386
6,0.16089297831058502,0.9388954043388367,0.14159917831420898,0.9386056065559387
7,0.1406022608280182,0.9524089097976685,0.13522173464298248,0.9365244507789612
8,0.12987355887889862,0.9521151781082153,0.1246412917971611,0.9396461844444275
9,0.11771802604198456,0.9574030637741089,0.12498722970485687,0.9427679777145386
10,0.11505275219678879,0.9562279582023621,0.12351130694150925,0.9386056065559387
11,0.10928601026535034,0.9576968550682068,0.12429868429899216,0.9386056065559387
12,0.09528999775648117,0.9629847407341003,0.1278657466173172,0.9448491334915161
13,0.08609720319509506,0.9688601493835449,0.13013970851898193,0.9448491334915161
14,0.08980577439069748,0.9650411009788513,0.14030766487121582,0.9396461844444275
