epoch,train_loss,train_acc,val_loss,val_acc
1,0.5088986754417419,0.8137485384941101,0.22423815727233887,0.9188345670700073
2,0.13468164205551147,0.9491774439811707,0.2044469118118286,0.9209157228469849
3,0.09661597013473511,0.9641597867012024,0.14844752848148346,0.9448491334915161
4,0.07303419709205627,0.9723854064941406,0.1517394632101059,0.9448491334915161
5,0.07769353687763214,0.9706227779388428,0.1601724624633789,0.9396461844444275
6,0.06896641850471497,0.9720916748046875,0.17193402349948883,0.9448491334915161
7,0.05221721529960632,0.9800235033035278,0.18246634304523468,0.9458897113800049
8,0.04955622926354408,0.9806110262870789,0.20082895457744598,0.93756502866745
9,0.05510570853948593,0.9794359803199768,0.22574074566364288,0.93756502866745
10,0.04087163880467415,0.9847238659858704,0.23937056958675385,0.9438085556030273
11,0.03917444497346878,0.9841362833976746,0.21480675041675568,0.9386056065559387
12,0.04219647869467735,0.9820799231529236,0.23781873285770416,0.93756502866745
13,0.03732297942042351,0.9864864945411682,0.220393106341362,0.9448491334915161
