metric,value
train_accuracy,0.9662
validation_accuracy,0.9511
test_accuracy,0.9382
test_precision_weighted,0.9407
test_recall_weighted,0.9382
test_f1_weighted,0.9390
test_f1_HDPE_Plastic,0.9652
test_f1_LDPE_Plastic,0.9412
test_f1_PET_Plastic,0.9835
test_f1_PP_Plastic,0.8820
test_f1_PS_Plastic,0.8515
