epoch,train_loss,train_acc,val_loss,val_acc
1,0.8937861323356628,0.6797884702682495,0.34668248891830444,0.9021852016448975
2,0.31628599762916565,0.9048178791999817,0.20690877735614777,0.9313215613365173
3,0.20218008756637573,0.933901309967041,0.16275838017463684,0.9396461844444275
4,0.15114741027355194,0.9471210241317749,0.14639009535312653,0.9406867623329163
5,0.1282055377960205,0.9574030637741089,0.14098425209522247,0.9427679777145386
6,0.10865498334169388,0.9618096351623535,0.1429416984319687,0.9396461844444275
7,0.0869705006480217,0.9691539406776428,0.14226944744586945,0.9479708671569824
8,0.0874982476234436,0.966509997844696,0.1457759290933609,0.941727340221405
9,0.07798493653535843,0.9732667207717896,0.149602472782135,0.9365244507789612
10,0.07182487845420837,0.9726791977882385,0.14419755339622498,0.941727340221405
11,0.06827787309885025,0.9720916748046875,0.15150807797908783,0.9396461844444275
12,0.0574951097369194,0.9785546660423279,0.15678276121616364,0.9354838728904724
13,0.0584716796875,0.9779670834541321,0.1667838841676712,0.93756502866745
14,0.058979351073503494,0.978848397731781,0.16461922228336334,0.9406867623329163
15,0.05051501467823982,0.9809048175811768,0.1681380420923233,0.9386056065559387
16,0.050113603472709656,0.9835487604141235,0.19026100635528564,0.9334027171134949
17,0.04708164185285568,0.9826674461364746,0.1744152307510376,0.9427679777145386
