epoch,train_loss,train_acc,val_loss,val_acc
1,0.9372240900993347,0.6423384547233582,0.4603286385536194,0.8317942023277283
2,0.45156702399253845,0.8406255841255188,0.3053800165653229,0.8865435123443604
3,0.3256444036960602,0.8860547542572021,0.238941952586174,0.9017150402069092
4,0.2764539420604706,0.8989015221595764,0.21199539303779602,0.918865442276001
5,0.2446785420179367,0.9115620851516724,0.2017800658941269,0.916886568069458
6,0.20887181162834167,0.9195680618286133,0.1867288053035736,0.9241424798965454
7,0.18913765251636505,0.9279463887214661,0.18937872350215912,0.9234828352928162
8,0.17620015144348145,0.9353938102722168,0.18959248065948486,0.9234828352928162
9,0.1692921668291092,0.9352076053619385,0.18869557976722717,0.9267809987068176
10,0.15131236612796783,0.9407931566238403,0.17312610149383545,0.9333773255348206
11,0.14228539168834686,0.945820152759552,0.16548432409763336,0.9346965551376343
12,0.13471637666225433,0.9506609439849854,0.1653173267841339,0.9379947185516357
13,0.12810328602790833,0.9497300386428833,0.1663004755973816,0.9353561997413635
14,0.12452392280101776,0.951033353805542,0.1774362474679947,0.936675488948822
15,0.117104172706604,0.9545708298683167,0.19044144451618195,0.9373350739479065
16,0.11334212869405746,0.9568050503730774,0.1857675462961197,0.9393140077590942
17,0.10247603058815002,0.9594116806983948,0.1918938308954239,0.9373350739479065
18,0.11206690222024918,0.9588531255722046,0.18569211661815643,0.9379947185516357
19,0.09539640694856644,0.9627630114555359,0.19763734936714172,0.9333773255348206
20,0.10024795681238174,0.9623906016349792,0.19260887801647186,0.9307388067245483
21,0.09625905752182007,0.9649972319602966,0.18317769467830658,0.9373350739479065
22,0.09295334666967392,0.9642524719238281,0.19612222909927368,0.9333773255348206
23,0.08974047750234604,0.9623906016349792,0.21319976449012756,0.9327176809310913
24,0.08801780641078949,0.966114342212677,0.22810927033424377,0.9281002879142761
25,0.0909249484539032,0.9635077118873596,0.2172410637140274,0.9353561997413635
26,0.08708206564188004,0.9633215665817261,0.23557867109775543,0.9287598729133606
